Language,Language Category,Formal Accuracy Score,Formal Fluency Score,Formal Language Score,Casual Accuracy Score,Casual Fluency Score,Casual Language Score
Portuguese,nonasian,4,3.428571429,7.428571429,2.571428571,2.142857143,4.714285714
French,nonasian,2.833333333,1.666666667,4.5,3,1.333333333,4.333333333
Hindi,asian,3.115384615,2.615384615,5.73076923,2.038461538,1.615384615,3.653846153
German,nonasian,3,2.166666667,5.166666667,3.416666667,3.583333333,7
Korean,asian,3.0625,2.625,5.6875,2.125,1.1875,3.3125
Spanish,nonasian,4.590909091,3.636363636,8.227272727,2.863636364,2.363636364,5.227272728
Mandarin,asian,2.875,2.625,5.5,1.5,1.5,3
Tagalog,asian,2.576923077,2.134615385,4.711538462,1.884615385,1.711538462,3.596153847
